word,rule_based,correct
उच्च,⠥⠉⠈⠉,⠥⠈⠉⠉
संग्रह,⠎⠰⠛⠈⠗⠓,⠎⠰⠈⠛⠗⠓
गद्यांश,⠛⠙⠈⠽⠜⠰⠩,⠛⠈⠙⠽⠜⠰⠩
वाक्यांशों,⠧⠜⠅⠈⠽⠜⠰⠩⠕⠰,⠧⠜⠈⠅⠽⠜⠰⠩⠕⠰
प्रश्नों,⠏⠈⠗⠩⠈⠝⠕⠰,⠈⠏⠗⠈⠩⠝⠕⠰
वाक्यांशिक,⠧⠜⠅⠈⠽⠜⠰⠩⠊⠅,⠧⠜⠈⠅⠽⠜⠰⠩⠊⠅
स्वतंत्र,⠎⠈⠧⠞⠰⠈⠞⠗,⠈⠎⠧⠞⠰⠈⠞⠗
वृद्धि,⠧⠐⠗⠙⠈⠮⠊,⠧⠐⠗⠈⠙⠮⠊
प्रश्न,⠏⠈⠗⠩⠈⠝,⠈⠏⠗⠈⠩⠝
उत्तर,⠥⠞⠈⠞⠗,⠥⠈⠞⠞⠗
अभ्यास,⠁⠘⠈⠽⠜⠎,⠁⠈⠘⠽⠜⠎
प्रश्नों,⠏⠈⠗⠩⠈⠝⠕⠰,⠈⠏⠗⠈⠩⠝⠕⠰
क्यों,⠅⠈⠽⠕⠰,⠈⠅⠽⠕⠰
पूर्व,⠏⠳⠗⠈⠧,⠏⠳⠈⠗⠧
ध्यान,⠮⠈⠽⠜⠝,⠈⠮⠽⠜⠝
विभिन्न,⠧⠊⠘⠊⠝⠈⠝,⠧⠊⠘⠊⠈⠝⠝
महत्वपूर्ण,⠍⠓⠞⠈⠧⠏⠳⠗⠈⠼,⠍⠓⠈⠞⠧⠏⠳⠈⠗⠼
नमस्ते,⠝⠍⠎⠈⠞⠑,⠝⠍⠈⠎⠞⠑
बच्चों,⠃⠉⠈⠉⠕⠰,⠃⠈⠉⠉⠕⠰
बच्चे,⠃⠉⠈⠉⠑,⠃⠈⠉⠉⠑
पद्यांश,⠏⠙⠈⠽⠜⠰⠩,⠏⠈⠙⠽⠜⠰⠩
पाठ्यपुस्तक,⠏⠜⠺⠈⠽⠏⠥⠎⠈⠞⠅,⠏⠜⠈⠺⠽⠏⠥⠈⠎⠞⠅
अर्थ,⠁⠗⠈⠹,⠁⠈⠗⠹
अर्थात्,⠁⠗⠈⠹⠜⠞⠈,⠁⠈⠗⠹⠜⠈⠞
क्यों,⠅⠈⠽⠕⠰,⠈⠅⠽⠕⠰
व्यापक,⠧⠈⠽⠜⠏⠅,⠈⠧⠽⠜⠏⠅
क्योंकि,⠅⠈⠽⠕⠰⠅⠊,⠈⠅⠽⠕⠰⠅⠊
ध्यान,⠮⠈⠽⠜⠝,⠈⠮⠽⠜⠝
तुम्हें,⠞⠥⠍⠈⠓⠑⠰,⠞⠥⠈⠍⠓⠑⠰
अच्छे,⠁⠉⠈⠡⠑,⠁⠈⠉⠡⠑
अर्थ,⠁⠗⠈⠹,⠁⠈⠗⠹
शब्द,⠩⠃⠈⠙,⠩⠈⠃⠙
तुम्हारा,⠞⠥⠍⠈⠓⠜⠗⠜,⠞⠥⠈⠍⠓⠜⠗⠜
अच्छी,⠁⠉⠈⠡⠔,⠁⠈⠉⠡⠔
ध्यान,⠮⠈⠽⠜⠝,⠈⠮⠽⠜⠝
अभ्यास,⠁⠘⠈⠽⠜⠎,⠁⠈⠘⠽⠜⠎
शक्ति,⠩⠅⠈⠞⠊,⠩⠈⠅⠞⠊
स्पष्ट,⠎⠈⠏⠯⠈⠾,⠈⠎⠏⠈⠯⠾
संक्षिप्त,⠎⠰⠟⠊⠏⠈⠞,⠎⠰⠟⠊⠈⠏⠞
विभिन्न,⠧⠊⠘⠊⠝⠈⠝,⠧⠊⠘⠊⠈⠝⠝
अंग्रेजी,⠁⠰⠛⠈⠗⠑⠚⠔,⠁⠰⠈⠛⠗⠑⠚⠔
किट्टी,⠅⠊⠾⠈⠾⠔,⠅⠊⠈⠾⠾⠔
बिल्ली,⠃⠊⠇⠈⠇⠔,⠃⠊⠈⠇⠇⠔
मिट्टी,⠍⠊⠾⠈⠾⠔,⠍⠊⠈⠾⠾⠔
उत्साहित,⠥⠞⠈⠎⠜⠓⠊⠞,⠥⠈⠞⠎⠜⠓⠊⠞
गर्दन,⠛⠗⠈⠙⠝,⠛⠈⠗⠙⠝
धब्बों,⠮⠃⠈⠃⠕⠰,⠮⠈⠃⠃⠕⠰
उम्मीद,⠥⠍⠈⠍⠔⠙,⠥⠈⠍⠍⠔⠙
तस्वीरें,⠞⠎⠈⠧⠔⠗⠑⠰,⠞⠈⠎⠧⠔⠗⠑⠰
दोस्तों,⠙⠕⠎⠈⠞⠕⠰,⠙⠕⠈⠎⠞⠕⠰
उन्होंने,⠥⠝⠈⠓⠕⠰⠝⠑,⠥⠈⠝⠓⠕⠰⠝⠑
नाश्ता,⠝⠜⠩⠈⠞⠜,⠝⠜⠈⠩⠞⠜
कार्य,⠅⠜⠗⠈⠽,⠅⠜⠈⠗⠽
प्रवेश,⠏⠈⠗⠧⠑⠩,⠈⠏⠗⠧⠑⠩
स्वागत,⠎⠈⠧⠜⠛⠞,⠈⠎⠧⠜⠛⠞
उन्हें,⠥⠝⠈⠓⠑⠰,⠥⠈⠝⠓⠑⠰
